sig,ex,side,ent,stop,tgt,risk_pct,pct,R,why,sid,skey,dow,rng,ts
198559,198569,1,21426.3,21410.3,21439.1,0.07467458217237694,-0.08270209975590746,-1.1075,stop,0,202505280,2,13.0,2025-05-27 21:00:00-04:00
198585,198586,1,21405.8,21387.9,21420.12,0.08362219585345008,-0.0916574012650675,-1.096089385474872,stop,1,202505281,2,17.399999999997817,2025-05-28 03:30:00-04:00
198610,198634,-1,21419.9,21517.3,21341.980000000003,0.4547173422845009,0.3557439577215498,0.7823408624229976,target,2,202505282,2,73.20000000000073,2025-05-28 09:45:00-04:00
198649,198670,1,21775.2,21664.4,21863.84,0.508835739740619,-0.19021639296080278,-0.3738267148014531,session flat,0,202505290,3,59.5,2025-05-28 20:45:00-04:00
198675,198677,1,21745.4,21700.8,21781.08,0.20510084891518288,0.15617096029505223,0.7614349775784446,target,1,202505291,3,30.900000000001455,2025-05-29 03:15:00-04:00
198701,198703,-1,21471.6,21632.7,21342.719999999998,0.7502934108310615,0.5922241472456689,0.7893234016139,target,2,202505292,3,156.10000000000218,2025-05-29 09:45:00-04:00
198739,198741,1,21309.7,21270.6,21340.980000000003,0.18348451644087987,-0.19155595808482606,-1.0439897698209695,stop,0,202505300,4,28.600000000002183,2025-05-29 20:30:00-04:00
198766,198769,1,21315.6,21274.7,21348.319999999996,0.19187824879430004,0.14543339150667833,0.7579462102689286,target,1,202505301,4,36.099999999998545,2025-05-30 03:15:00-04:00
198792,198794,-1,21214.3,21345.8,21109.1,0.6198649024478772,-0.6279726410958646,-1.0130798479087453,stop,2,202505302,4,94.09999999999854,2025-05-30 09:45:00-04:00
198900,198908,1,21425.0,21252.5,21563.0,0.8051341890315052,0.4451808634772394,0.5529275362318756,session flat,2,202506022,0,168.59999999999854,2025-06-02 14:00:00-04:00
198920,198928,-1,21444.9,21467.8,21426.58,0.10678529627089804,0.07740768201297142,0.7248908296943796,target,0,202506030,1,17.0,2025-06-02 20:15:00-04:00
198948,198962,-1,21379.1,21446.4,21325.259999999995,0.314793419741724,-0.3228386601868316,-1.0255572065378888,stop,1,202506031,1,20.600000000002183,2025-06-03 03:15:00-04:00
198975,198980,1,21571.8,21476.7,21647.879999999997,0.44085333630016293,0.34470929639621223,0.781913774973704,target,2,202506032,1,84.39999999999782,2025-06-03 10:00:00-04:00
199017,199034,-1,21648.2,21693.3,21612.120000000003,0.2083314086159521,-0.1437532912667003,-0.690022172948976,session flat,0,202506040,2,35.0,2025-06-03 21:45:00-04:00
199041,199050,1,21687.8,21641.4,21724.92,0.21394516732908742,0.16322540783297054,0.7629310344827726,target,1,202506041,2,24.399999999997817,2025-06-04 03:45:00-04:00
199066,199082,-1,21679.0,21760.3,21613.96,0.37501729784583826,-0.3829512431385178,-1.0211562115621158,stop,2,202506042,2,75.39999999999782,2025-06-04 10:00:00-04:00
199102,199106,1,21731.2,21706.4,21751.04,0.11412163157119382,-0.12203651892209944,-1.0693548387096794,stop,0,202506050,3,17.299999999999272,2025-06-04 20:15:00-04:00
199130,199149,1,21780.8,21707.9,21839.12,0.33469845001100884,-0.15848820979945308,-0.4735253772290851,session flat,1,202506051,3,24.599999999998545,2025-06-05 03:15:00-04:00
199156,199159,-1,21692.3,21808.2,21599.579999999998,0.5342909696067335,-0.5422200504326488,-1.0148403796376184,stop,2,202506052,3,103.29999999999927,2025-06-05 09:45:00-04:00
199198,199211,1,21566.3,21513.5,21608.539999999997,0.24482641899630106,0.18788572912366963,0.7674242424242145,target,0,202506060,4,41.79999999999927,2025-06-05 21:30:00-04:00
199229,199236,1,21647.0,21616.3,21671.56,0.14182103755717063,-0.14976671132258848,-1.0560260586319206,stop,1,202506061,4,30.100000000002183,2025-06-06 05:15:00-04:00
199258,199264,-1,21728.7,21820.1,21655.58,0.4206418239471198,-0.4285576219470001,-1.018818380743983,stop,2,202506062,4,83.59999999999854,2025-06-06 12:30:00-04:00
199313,199328,1,21758.4,21732.6,21779.040000000005,0.11857489521289667,0.08695492315612846,0.7333333333333691,target,1,202506091,0,18.200000000000728,2025-06-09 03:30:00-04:00
199339,199363,1,21827.2,21728.7,21906.0,0.4512718076528368,-0.21587743732591194,-0.47837563451778126,session flat,2,202506092,0,62.89999999999782,2025-06-09 10:00:00-04:00
199375,199377,1,21821.5,21795.5,21842.3,0.11914854615860504,0.0874367023348499,0.733846153846126,target,0,202506100,1,18.5,2025-06-09 20:15:00-04:00
199404,199409,-1,21730.4,21797.3,21676.880000000005,0.3078636380370256,-0.3157788167728059,-1.0257100149476839,stop,1,202506101,1,27.299999999999272,2025-06-10 03:30:00-04:00
199438,199449,1,21875.3,21799.1,21936.26,0.34833807993490706,0.27080771463705244,0.7774278215222908,target,2,202506102,1,67.70000000000073,2025-06-10 12:00:00-04:00
199468,199484,-1,21898.0,21948.8,21857.36,0.23198465613297686,0.17773312631290264,0.766141732283464,target,0,202506110,2,44.20000000000073,2025-06-10 20:45:00-04:00
199496,199499,1,21912.0,21876.3,21940.56,0.16292442497262105,0.12248995983936341,0.751820728291338,target,1,202506111,2,21.5,2025-06-11 03:45:00-04:00
199522,199529,1,22021.5,21943.6,22083.82,0.3537452035510817,-0.36155575233295395,-1.0220795892169443,stop,2,202506112,2,63.70000000000073,2025-06-11 10:15:00-04:00
199557,199559,-1,21798.9,21834.5,21770.420000000002,0.16331099275650854,0.12275848781360327,0.7516853932584454,target,0,202506120,3,29.0,2025-06-11 20:15:00-04:00
199586,199587,-1,21796.9,21845.2,21758.260000000002,0.22159114369474223,0.16938188457991465,0.7643892339544508,target,1,202506121,3,23.5,2025-06-12 03:30:00-04:00
199612,199636,1,21901.5,21807.0,21977.1,0.43147729607561125,0.06017852658494375,0.13947089947091487,session flat,2,202506122,3,63.5,2025-06-12 10:00:00-04:00
