time,side,reason,pts,usd,R,qty,path,action,orbBps,stopPts,tgtPts,trig,lock,regime,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
2025-07-14 11:00:00,1,close1600,48.5,189.0,0.485,2,parent_no_condition,control,53.39427399805645,100.0,300.0,1.25,0.0,base,-12.256599912605637,-31.660026560424992,49.698488694664974,404.1826528575543,24.54879331972748,23.795296427504553,1.0,5.0,53.39427399805645,6.0,0.0,1.0,1.2246467991473532e-16,-1.0
2025-07-15 11:01:00,1,cond1530,-14.75,-32.0,-0.1475,1,intraday_reverse,h2cap,42.14751630707476,100.0,300.0,1.25,0.0,base,-69.47542864427226,-66.40787911841085,-69.63832996373709,-381.58678342192997,25.705005617773224,33.16119084582181,-1.0,5.0,42.14751630707476,7.0,0.9510565162951535,0.30901699437494745,1.2246467991473532e-16,-1.0
2025-07-16 10:00:00,-1,stop,-100.0,-202.5,-1.0,1,parent_no_condition,control,37.70318565367234,100.0,300.0,0.75,0.1,ct,0.7425401236860196,-30.643839843376153,-76.7479396705606,-434.09445594306595,22.09377747273922,19.992343357863042,-1.0,1.0,37.70318565367234,10.0,0.5877852522924732,-0.8090169943749473,1.2246467991473532e-16,-1.0
2025-07-17 10:00:00,1,cond1530,109.0,431.0,1.3885350318471337,2,rc1_direct,direct,26.59898584743203,78.5,235.25,1.25,0.0,base,8.80151004220453,30.527043556878297,11.890858902219303,417.1177341316312,16.84015187817689,13.86962552011095,1.0,1.0,26.59898584743203,13.0,-0.587785252292473,-0.8090169943749476,1.2246467991473532e-16,-1.0
2025-07-18 10:15:00,-1,stop,6.5,10.5,0.09848484848484848,1,parent_no_condition,control,22.18472198127441,66.0,197.75,0.75,0.1,ct,-15.679754175128569,-95.93727423398812,-105.81504168793555,-635.6046022294847,14.188261980894179,14.93542008498494,-1.0,2.0,22.18472198127441,13.0,-0.9510565162951536,0.30901699437494723,1.2246467991473532e-16,-1.0
2025-07-21 10:00:00,1,cond1530,-7.75,-36.0,-0.0775,2,rc1_direct,direct,41.60843936830824,100.0,300.0,1.25,0.0,base,15.394348376212008,-16.631929093243734,107.96465836059977,472.8461317608601,15.311253930614388,14.370830361263298,1.0,1.0,41.60843936830824,14.0,0.0,1.0,1.2246467991473532e-16,-1.0
2025-07-22 10:00:00,-1,stop,-100.0,-202.5,-1.0,1,parent_no_condition,control,38.02760678194004,100.0,300.0,0.75,0.1,ct,-1.6784507899214596,-39.17686458706271,-126.62799838528028,-616.313257305774,41.614068879374244,55.45967334568136,-1.0,1.0,38.02760678194004,15.0,0.9510565162951535,0.30901699437494745,1.2246467991473532e-16,-1.0
2025-07-23 10:15:00,-1,stop,-100.0,-202.5,-1.0,1,parent_no_condition,control,34.2572243215752,100.0,300.0,0.75,0.1,ct,-7.37199064810401,41.84451459314342,-72.45070063964576,-579.8328690807808,19.006973568067576,25.1025724863152,-1.0,2.0,34.2572243215752,15.0,0.5877852522924732,-0.8090169943749473,1.2246467991473532e-16,-1.0
2025-07-24 10:15:00,-1,stop,-81.5,-165.5,-1.0,1,parent_no_condition,control,27.34602146819846,81.5,244.75,0.75,0.1,ct,-31.41350255300379,-50.89757127771932,-93.3172149053041,-537.4915584487483,22.48979893272662,23.9991616013413,-1.0,2.0,27.34602146819846,5.0,-0.587785252292473,-0.8090169943749476,1.2246467991473532e-16,-1.0
2025-07-25 10:00:00,1,close1600,31.25,120.0,0.5274261603375527,2,rc1_direct,direct,19.917395224018282,59.25,178.25,1.25,0.0,base,-10.676715339927867,0.7327694497938353,53.45849074473552,424.1227304469275,9.63493405530036,12.365602665940223,1.0,1.0,19.917395224018282,11.0,-0.9510565162951536,0.30901699437494723,1.2246467991473532e-16,-1.0
