feed,cell,side,filter,block,n,R,pct,pf,win
US30_ISO,US30 Optuna pf,LONG,both regimes,LOCKED,33,-0.2788,-0.0649,0.399,30.3
US30_ISO,US30 Optuna pf,LONG,bull only,research,54,0.0503,0.032,1.1,35.2
US30_ISO,US30 Optuna pf,LONG,bull only,LOCKED,32,-0.2685,-0.0575,0.416,31.2
US30_ISO,US30 Optuna pf,SHORT,both regimes,research,68,-0.4858,-0.1491,0.236,16.2
US30_ISO,US30 Optuna pf,SHORT,both regimes,LOCKED,19,-0.4815,-0.2544,0.268,15.8
US30_ISO,US30 Optuna pf,SHORT,bull only,research,59,-0.5254,-0.1577,0.174,16.9
US30_ISO,US30 Optuna pf,SHORT,bull only,LOCKED,19,-0.4815,-0.2544,0.268,15.8
US30_ISO,US30 Optuna retdd,LONG,both regimes,research,68,-0.0034,0.0278,0.993,36.8
US30_ISO,US30 Optuna retdd,LONG,both regimes,LOCKED,37,-0.2258,-0.0569,0.5,35.1
US30_ISO,US30 Optuna retdd,LONG,bull only,research,58,0.0305,0.0351,1.072,39.7
US30_ISO,US30 Optuna retdd,LONG,bull only,LOCKED,34,-0.1817,-0.023,0.575,38.2
US30_ISO,US30 Optuna retdd,SHORT,both regimes,research,78,-0.3525,-0.1022,0.357,23.1
US30_ISO,US30 Optuna retdd,SHORT,both regimes,LOCKED,24,-0.4738,-0.222,0.257,16.7
US30_ISO,US30 Optuna retdd,SHORT,bull only,research,65,-0.3823,-0.0946,0.302,24.6
US30_ISO,US30 Optuna retdd,SHORT,bull only,LOCKED,24,-0.4738,-0.222,0.257,16.7
US30_ISO,US30 Optuna retdd,SHORT,bear only,research,13,-0.2036,-0.1398,0.631,15.4
