feat,fam,h,block,n,ic,t,p
pead.gap_z,pead,1,research,476,0.05698185530418722,1.272496266369901,0.2031968498147636
pead.gap_z,pead,1,locked,267,-0.010082854293204081,-0.1475896737088743,0.8826666050336891
pead.gap_z,pead,5,research,476,-0.0652006264273336,-1.4785730397398775,0.1392544626930292
pead.gap_z,pead,5,locked,263,0.0050193544301459425,0.08631567532106231,0.9312154778771031
pead.gap_z,pead,10,research,476,-0.02979880333464071,-0.7589856653737067,0.4478611317930006
pead.gap_z,pead,10,locked,258,0.04593410194713244,0.8859627661246489,0.37563759158516774
pead.gap_z,pead,20,research,476,-0.050075911198640334,-1.389877978003646,0.16456593389250074
pead.gap_z,pead,20,locked,248,0.0326404219463724,0.6019851691023728,0.5471840096061624
pead.ev1.5_sign,pead,1,research,495,-0.06469851333742395,-1.3651622624427753,0.17220205640363107
pead.ev1.5_sign,pead,1,locked,267,-0.05024803708674643,-0.8233911921234564,0.41028557020778145
pead.ev1.5_sign,pead,5,research,495,-0.10867121059605493,-1.3728994952854365,0.1697835935250973
pead.ev1.5_sign,pead,5,locked,263,-0.09879684132480451,-0.9869958515296928,0.3236446723164974
pead.ev1.5_sign,pead,10,research,495,-0.15117584992998753,-1.5550871807359874,0.11992530758957587
pead.ev1.5_sign,pead,10,locked,258,-0.11581483862913132,-0.85549560280527,0.3922768376942045
pead.ev1.5_sign,pead,20,research,495,-0.08053364084816375,-0.7718639534973465,0.4401950087423816
pead.ev1.5_sign,pead,20,locked,248,-0.008624532680044377,-0.04372171368479957,0.9651262307474382
pead.ev1.5_since,pead,1,research,473,-0.07366187936555485,-1.5602868796248264,0.11869210251726248
pead.ev1.5_since,pead,1,locked,267,0.060921875729540546,1.154554814037077,0.24827277963836947
pead.ev1.5_since,pead,5,research,473,-0.11315162613456829,-1.590454274896936,0.11173244463056964
pead.ev1.5_since,pead,5,locked,263,0.20174588142848582,2.133075449558381,0.03291853735802941
pead.ev1.5_since,pead,10,research,473,-0.08918761433643471,-1.0885629155180294,0.27634667782507427
pead.ev1.5_since,pead,10,locked,258,0.19469665062835748,1.7976973816830542,0.07222497658287463
pead.ev1.5_since,pead,20,research,473,-0.020155560285097244,-0.2285234286817736,0.8192393444835069
pead.ev1.5_since,pead,20,locked,248,0.23166901351339556,1.8139119458167743,0.06969128330542729
pead.ev1.5_decay,pead,1,research,473,-0.014182358870707736,-0.31166954599453944,0.7552916746630927
pead.ev1.5_decay,pead,1,locked,267,-0.03942810773340452,-0.6059902134034038,0.5445212519486757
pead.ev1.5_decay,pead,5,research,473,-0.010799673859502151,-0.15219241165656727,0.8790351788667103
