feed,block,side,geom,read,strict,recency,arm,n,per,keep,mde,p,base,vs_none
US30L,A_research,long,100pt / 100pt,all,True,30,m200,777,0.003809305487789952,0.5411298315163529,0.03166370513870488,0.25,-0.0016198973594984767,0.005429202847288429
US30L,A_research,long,100pt / 100pt,all,True,30,or,818,0.0032793333573116075,0.5743310208126858,0.030831136121142716,0.27666666666666667,-0.0016198973594984767,0.0048992307168100845
US30L,A_research,long,100pt / 100pt,all,True,30,fresh,86,0.03640190525826186,0.06788899900891972,0.09059893816027158,0.15666666666666668,-0.0016198973594984767,0.038021802617760336
US30L,B_holdout,long,100pt / 100pt,all,True,30,none,600,-0.020203876039081834,1.0,0.02935453276513547,,-0.020203876039081834,0.0
US30L,B_holdout,long,100pt / 100pt,all,True,30,m200,315,-0.02426865237022693,0.5411298315163529,0.040059963335714044,0.66,-0.020203876039081834,-0.0040647763311450966
US30L,B_holdout,long,100pt / 100pt,all,True,30,or,341,-0.027553534605754326,0.5743310208126858,0.03853186754535123,0.8,-0.020203876039081834,-0.007349658566672492
US30L,B_holdout,long,100pt / 100pt,all,True,30,fresh,51,0.002513159676859243,0.06788899900891972,0.10273182106414902,0.2833333333333333,-0.020203876039081834,0.022717035715941077
US30L,A_research,long,100pt / 100pt,all,True,75,none,1418,-0.0016198973594984767,1.0,0.02446035313641711,,-0.0016198973594984767,0.0
US30L,A_research,long,100pt / 100pt,all,True,75,m200,777,0.003809305487789952,0.5411298315163529,0.03166370513870488,0.25,-0.0016198973594984767,0.005429202847288429
US30L,A_research,long,100pt / 100pt,all,True,75,or,842,0.004213808198612316,0.5931615460852329,0.030435379549285435,0.21666666666666667,-0.0016198973594984767,0.005833705558110793
US30L,A_research,long,100pt / 100pt,all,True,75,fresh,143,0.007069038842736522,0.10852329038652131,0.07394133608841073,0.37333333333333335,-0.0016198973594984767,0.008688936202234999
US30L,B_holdout,long,100pt / 100pt,all,True,75,none,600,-0.020203876039081834,1.0,0.02935453276513547,,-0.020203876039081834,0.0
US30L,B_holdout,long,100pt / 100pt,all,True,75,m200,315,-0.02426865237022693,0.5411298315163529,0.040059963335714044,0.66,-0.020203876039081834,-0.0040647763311450966
US30L,B_holdout,long,100pt / 100pt,all,True,75,or,355,-0.03234178203594292,0.5931615460852329,0.03773264706820316,0.9233333333333333,-0.020203876039081834,-0.012137905996861088
US30L,B_holdout,long,100pt / 100pt,all,True,75,fresh,76,-0.029584821584642713,0.10852329038652131,0.08221660994287831,0.6233333333333333,-0.020203876039081834,-0.00938094554556088
US30L,A_research,long,100pt / 100pt,all,True,150,none,1418,-0.0016198973594984767,1.0,0.02446035313641711,,-0.0016198973594984767,0.0
US30L,A_research,long,100pt / 100pt,all,True,150,m200,777,0.003809305487789952,0.5411298315163529,0.03166370513870488,0.25,-0.0016198973594984767,0.005429202847288429
US30L,A_research,long,100pt / 100pt,all,True,150,or,872,-0.000976663559134213,0.6144697720515362,0.030200387477576033,0.48,-0.0016198973594984767,0.0006432338003642638
US30L,A_research,long,100pt / 100pt,all,True,150,fresh,200,-0.03305810637367344,0.15213082259663033,0.0645222670325753,0.9333333333333333,-0.0016198973594984767,-0.03143820901417497
US30L,B_holdout,long,100pt / 100pt,all,True,150,none,600,-0.020203876039081834,1.0,0.02935453276513547,,-0.020203876039081834,0.0
US30L,B_holdout,long,100pt / 100pt,all,True,150,m200,315,-0.02426865237022693,0.5411298315163529,0.040059963335714044,0.66,-0.020203876039081834,-0.0040647763311450966
US30L,B_holdout,long,100pt / 100pt,all,True,150,or,368,-0.03184878116657739,0.6144697720515362,0.03717548733078137,0.9133333333333333,-0.020203876039081834,-0.011644905127495556
US30L,B_holdout,long,100pt / 100pt,all,True,150,fresh,107,-0.020355065916959722,0.15213082259663033,0.0695402656729624,0.5666666666666667,-0.020203876039081834,-0.00015118987787788793
US30L,A_research,long,100pt / 100pt,all,False,30,none,1418,-0.0016198973594984767,1.0,0.02446035313641711,,-0.0016198973594984767,0.0
US30L,A_research,long,100pt / 100pt,all,False,30,m200,777,0.003809305487789952,0.5411298315163529,0.03166370513870488,0.25,-0.0016198973594984767,0.005429202847288429
US30L,A_research,long,100pt / 100pt,all,False,30,or,821,0.00237139821558863,0.5763131813676908,0.030770131043364447,0.31333333333333335,-0.0016198973594984767,0.003991295575087107
US30L,A_research,long,100pt / 100pt,all,False,30,fresh,91,0.02114623197244631,0.07135777998017839,0.08811436546655359,0.24666666666666667,-0.0016198973594984767,0.022766129331944787
US30L,B_holdout,long,100pt / 100pt,all,False,30,none,600,-0.020203876039081834,1.0,0.02935453276513547,,-0.020203876039081834,0.0
