market,side,entry1,exit1,atr_len,atr_mult,pyr_step,max_units,adx_max,ext_max,ao_min,skip_win,res_sharpe,res_pf,res_n,res_R,res_dd,lk_sharpe,lk_pf,lk_n,lk_R,lk_dd
NQ,long,10,32,18,2.7,1.3,1,0.0,8.0,1.0,False,-0.18518486922398286,0.9469946914646197,170,-0.023731116974373623,19.779777553622733,0.18228477991510073,1.0524837273404102,101,0.0218253662473354,8.600286699554806
NQ,long,19,33,16,3.1,1.4000000000000001,1,0.0,8.0,1.0,False,0.0418572467197677,1.0129642347899426,169,0.005247967324261005,18.406382224860387,-0.18760313074203133,0.9486253188558046,99,-0.020253257431445345,9.770454866680502
NQ,long,10,35,17,2.9000000000000004,1.3,1,0.0,8.0,1.0,False,0.09801634663137392,1.0304887522424557,169,0.012864704267004715,17.655735874072867,0.02984731824440268,1.0082542231711196,102,0.0033540377791995363,9.87751199859032
NQ,long,10,37,17,2.9000000000000004,1.2000000000000002,1,0.0,8.0,1.0,False,0.09754169890020341,1.0303382826015413,169,0.012803083201428839,17.666149834155192,0.019786560789998128,1.0054626474861064,102,0.002225866059700541,9.87751199859032
NQ,long,10,37,17,3.2,1.2000000000000002,1,0.0,8.0,1.0,False,0.036145698531783926,1.0111667231878785,168,0.004403019290476164,17.932475387025445,-0.2094985772267238,0.9441357159957168,102,-0.021968966294875446,9.844043031747539
NQ,long,13,31,18,2.8,1.3,1,0.0,8.0,1.0,False,-0.09932792313914787,0.9711164853462291,169,-0.012345149127750839,17.78305630859994,0.1260090339068382,1.0362467038010204,100,0.014633687140937837,8.54313360314211
NQ,long,14,37,14,3.4000000000000004,1.1,1,0.0,8.0,1.0,False,-0.23914536043284051,0.9280209984472817,165,-0.02865718640847125,18.033188428019834,-0.5290447028778453,0.8584778788491764,97,-0.05591854860390697,11.375718822712916
NQ,long,10,39,17,2.6,1.2000000000000002,1,0.0,8.0,1.0,False,-0.07064249865664445,0.9788065567668378,173,-0.009817414916118232,19.705581483615184,-0.006943256358239523,0.9980827693628173,103,-0.0008358756090989379,10.094147998427555
NQ,long,12,29,20,3.2,1.3,1,0.0,8.0,1.0,False,-0.20091680652131247,0.9423290052914247,167,-0.022365552405106567,17.259258192768655,-0.1967967606510301,0.9471904927393844,101,-0.019972701163066982,9.623838597085177
NQ,long,21,36,18,2.4000000000000004,1.2000000000000002,1,0.0,8.0,1.0,False,-0.46822266118616734,0.8750457963770655,176,-0.06167974753347432,21.220144135867173,0.25110102431312614,1.072883412342774,101,0.03205632577721965,8.808048795068926
NQ,long,14,33,17,2.6,1.3,1,0.0,8.0,1.0,False,-0.07064249865664445,0.9788065567668378,173,-0.009817414916118232,19.705581483615184,0.04041837162429706,1.0113458361106973,102,0.00483452902908831,10.094147998427555
NQ,long,16,34,16,2.9000000000000004,1.5,1,0.0,8.0,1.0,False,0.0923177431155539,1.0288173975910995,169,0.012206374982331295,17.813718930023146,-0.060044415701569966,0.9832431921878466,99,-0.006812938862915192,9.892555202313652
NQ,long,12,38,15,2.9000000000000004,1.4000000000000001,1,0.0,8.0,1.0,False,-0.02698913962987653,0.9916875761983628,169,-0.0035209875884506334,18.702020674338392,-0.2903732559277987,0.922051930681197,99,-0.03344403061158976,11.19324542065915
NQ,long,15,35,16,3.0,1.3,1,0.0,8.0,1.0,False,0.12076077893703883,1.0379767516423821,169,0.01550275820632215,18.11992829902227,-0.1608292702446643,0.9558729015517563,99,-0.017839641233485522,9.829470028903145
NQ,long,10,35,16,3.1,1.3,1,0.0,8.0,1.0,False,0.040488138065353965,1.012536870848299,169,0.005077110919269126,18.406382224860387,-0.24213314266627914,0.9348571764820718,100,-0.026311539009622763,9.770454866680502
NQ,long,18,32,17,2.8,1.3,1,0.0,8.0,1.0,False,0.11873819391403052,1.0371965494860769,170,0.015960030173207976,17.31353169946071,0.018861289797279426,1.0053223868117742,101,0.002189785835461402,9.944565998539952
NQ,long,15,30,17,3.4000000000000004,1.1,1,0.0,8.0,1.0,False,0.11639845233925875,1.0365380071011119,166,0.013569865581395463,14.723043330088691,-0.41939018124888117,0.8890677009498085,101,-0.0425013628750685,11.095657386542197
NQ,long,12,25,17,3.5,1.0,1,0.0,8.0,1.0,False,0.3714897882823443,1.1232668862054616,166,0.042988762252253856,13.54985322063048,-0.4161467304335166,0.8897390435654514,101,-0.04100621224146644,10.746084530778777
NQ,long,21,25,17,3.8000000000000003,1.0,1,0.0,8.0,1.0,False,0.35175028250601453,1.1163457714414533,165,0.03810443898510825,11.751581764068805,-0.27156863025436484,0.9256943399871111,100,-0.024777267859265987,9.368405467561885
NQ,long,20,25,17,3.8000000000000003,1.0,1,0.0,1.5,1.0,False,-0.4518543730712119,0.8096659064208311,60,-0.07732045659971254,6.644845646291865,,,0,,
NQ,long,12,28,18,3.6,1.0,1,0.0,8.0,1.0,False,0.12803404887462227,1.0394438384281366,165,0.013566934892676233,13.043400957614885,-0.21699580393182302,0.9401823728736511,99,-0.02098723664484884,8.598738018886673
NQ,long,12,26,18,3.6,1.0,1,0.0,8.0,1.0,False,0.15965530959407362,1.0494871991466044,165,0.0168585154249873,12.53214697893087,-0.19290326714291897,0.9466251644026541,99,-0.018599303783975805,8.595619374307121
NQ,long,12,26,20,3.5,1.0,1,0.0,8.0,1.0,False,0.12701378892351287,1.039093917269174,165,0.013556982215271943,13.531752195387357,-0.38242386949806056,0.8987270822590021,101,-0.03690705962608749,10.517185355289058
NQ,long,12,26,20,3.6,1.0,1,0.0,8.0,1.0,False,0.1991323991419561,1.0621243375545826,164,0.020775658339300875,11.519705258180458,-0.24220867396653514,0.9340187054075682,100,-0.022800775677160868,9.763799139632656
NQ,long,12,26,20,3.6,1.0,1,0.0,8.0,1.0,False,0.1991323991419561,1.0621243375545826,164,0.020775658339300875,11.519705258180458,-0.24220867396653514,0.9340187054075682,100,-0.022800775677160868,9.763799139632656
NQ,long,12,26,21,3.6,1.0,1,0.0,8.0,1.0,False,0.1621306763868327,1.0504023435174077,164,0.016799589139013967,11.982488708236733,-0.2395173467206023,0.934834646724281,100,-0.0224198226806575,9.721895241978562
NQ,long,12,26,20,3.6,1.0,1,0.0,8.0,1.0,False,0.1991323991419561,1.0621243375545826,164,0.020775658339300875,11.519705258180458,-0.24220867396653514,0.9340187054075682,100,-0.022800775677160868,9.763799139632656
NQ,long,12,26,20,3.6,1.0,1,45.0,8.0,1.0,False,0.1991323991419561,1.0621243375545826,164,0.020775658339300875,11.519705258180458,-0.24220867396653514,0.9340187054075682,100,-0.022800775677160868,9.763799139632656
NQ,long,12,26,20,3.6,1.0,1,45.0,8.0,1.0,False,0.1991323991419561,1.0621243375545826,164,0.020775658339300875,11.519705258180458,-0.24220867396653514,0.9340187054075682,100,-0.022800775677160868,9.763799139632656
NQ,long,12,26,20,3.6,1.0,1,45.0,8.0,-0.5,False,-0.3235375793335675,0.9346164204726178,335,-0.023315399084219462,17.598788140383515,0.09958724818096938,1.022854513740773,177,0.007442622750861516,12.042955515686252
NQ,long,31,26,21,3.9000000000000004,0.9,1,45.0,8.0,1.0,False,0.022820944973305415,1.007015450610082,162,0.002214581955494772,12.367239535150414,-0.12538755210122476,0.9644408882362202,98,-0.010900043729230648,9.234025304202593
NQ,long,12,24,20,3.6,0.9,1,45.0,8.0,1.0,False,0.2292449649264212,1.0718930204610113,164,0.02382339608186869,11.100984741183495,-0.26346983902072424,0.9287294081004657,100,-0.024768832216180616,9.763799139632656
NQ,long,12,24,20,3.6,0.9,1,45.0,8.0,1.0,False,0.2292449649264212,1.0718930204610113,164,0.02382339608186869,11.100984741183495,-0.26346983902072424,0.9287294081004657,100,-0.024768832216180616,9.763799139632656
NQ,long,17,24,21,3.8000000000000003,0.9,1,45.0,8.0,1.0,False,0.12260806626215236,1.0378898288493328,164,0.012108599205435812,11.674870935382092,-0.2390637237703017,0.934974667319289,100,-0.021191020036210425,9.377770326546855
NQ,long,12,24,20,3.6,0.9,1,45.0,8.0,1.0,False,0.2292449649264212,1.0718930204610113,164,0.02382339608186869,11.100984741183495,-0.26346983902072424,0.9287294081004657,100,-0.024768832216180616,9.763799139632656
NQ,long,12,24,22,3.7,0.9,1,45.0,8.0,1.0,False,0.18723969375526875,1.0584639098122133,164,0.018794783711527808,10.867919139721163,-0.228835639296523,0.9377015188671131,100,-0.020656420230825746,9.501168832570361
NQ,long,13,23,22,3.8000000000000003,0.9,1,45.0,8.0,0.5,False,-0.21065479680991286,0.9476374301040144,230,-0.017802697920475938,19.739130751602808,0.5262731399615314,1.152688785202723,124,0.04577684684282887,8.450647162813247
NQ,long,15,24,20,4.0,0.9,1,45.0,8.0,1.0,False,0.07422255466521438,1.0227293837858968,164,0.007104570393321661,11.23032831758508,-0.1222054633190542,0.9660376463237961,99,-0.010425308745420367,7.739626959344239
NQ,long,17,25,20,3.7,0.9,1,45.0,1.5,1.0,False,-0.4414154564232066,0.8148542291552754,61,-0.07393891730032855,7.043029311828432,,,0,,
