stop,target,hold_h,n,pts,sd,se,t,sharpe,pf,win,mde,need_n,med_min,trigger,hold_pts
30,0,4.0,1130,2.101150442477876,79.51322851489125,2.3653758908864795,0.888294520364973,0.35587065887794095,1.0864330381487757,0.2407079646017699,6.626802131188354,11240,45.0,donch20 long,-4.98384057971009
40,20,1.0,1491,-4.206163648558013,27.44535168594397,0.7107714558738332,-5.917744183166292,-2.281385125321943,0.7102956223683512,0.6009389671361502,1.991286804232765,-1,0.0,donch20 long,-8.421005586592171
40,20,2.0,1467,-4.828513974096794,28.581834521926478,0.7462340189708488,-6.4705090512436385,-2.499056198808439,0.6902568224194447,0.612815269256987,2.0906381968017627,-1,0.0,donch20 long,-8.583952180028126
40,20,4.0,1458,-4.782455418381342,28.895552056104474,0.7567496594444577,-6.319732501620444,-2.442650735606124,0.6963161981795924,0.622085048010974,2.1200986597116156,-1,0.0,donch20 long,-8.61911392405063
40,30,1.0,1444,-3.492216066481993,32.42793548680907,0.8533667233370807,-4.092280576427591,-1.6056154751444338,0.7959678776736235,0.5235457063711911,2.3907795977306643,-1,15.0,donch20 long,-7.259753979739492
40,30,2.0,1412,-4.242549575070819,33.99109631220639,0.9045817544588112,-4.690067596608812,-1.8399299713523027,0.7724657795442235,0.5339943342776204,2.5342628718665,-1,15.0,donch20 long,-7.604035087719299
40,30,4.0,1400,-4.069285714285711,34.56360019425993,0.923751071288242,-4.405175637426628,-1.7310574067779325,0.7854723712363523,0.5442857142857143,2.5879673465371575,-1,15.0,donch20 long,-7.699356725146195
40,40,1.0,1397,-1.554137437365782,36.54456726158347,0.9777427865117717,-1.58951562599646,-0.6243446073452321,0.9143215688750592,0.49534717251252686,2.7392297378079635,-1,15.0,donch20 long,-5.278095238095225
40,40,2.0,1364,-2.276070381231669,38.50276295540021,1.0425207562789989,-2.1832374727535386,-0.860111792300292,0.8860081938862356,0.4970674486803519,2.9207107403671957,-1,15.0,donch20 long,-5.674917043740578
40,40,4.0,1347,-2.20907943578322,39.414663962273174,1.0739251926554896,-2.0570142602957664,-0.8126295248371607,0.8929525529457896,0.5025983667409057,3.0086929451027413,-1,15.0,donch20 long,-5.734108761329303
40,50,1.0,1363,-0.9488407923697703,40.153106036180496,1.0876050558047925,-0.8724130025928013,-0.35089015803536405,0.9509719218368231,0.4607483492296405,3.0470182474876366,-1,15.0,donch20 long,-4.353829787234019
40,50,2.0,1324,-1.6276132930513572,42.50266175345376,1.1680787852004775,-1.393410541885674,-0.5574549470642757,0.924015819107044,0.459214501510574,3.2724722582090107,-1,15.0,donch20 long,-5.107156105100468
40,50,4.0,1305,-1.2991954022988483,43.86688496304848,1.214315503815057,-1.0698993780587673,-0.4282442861542432,0.9416967820007447,0.46130268199233715,3.4020083656136655,-1,15.0,donch20 long,-5.59015479876161
40,75,1.0,1314,-0.2549923896499239,46.33261966283541,1.2781716289112148,-0.19949777000380933,-0.08167600407523969,0.9877768191493823,0.4178082191780822,3.580906741769034,-1,30.0,donch20 long,-3.2527575277337215
40,75,2.0,1249,-1.093042433947158,50.32237061512426,1.4239012547530698,-0.7676392097405036,-0.31268089368602997,0.95420242968219,0.3963170536429143,3.9891807073687087,-1,30.0,donch20 long,-4.398794788273634
