tf,k,stop_atr,tp_r,block,n,pf,pts,R,win,hit_tp,hit_sl,flat,t_tp,t_sl,t_tp_med,t_sl_med,t_flat
15,1,0.75,1.0,research,2711,0.8214511167477272,-1.3272988725049624,-0.10385953584941211,0.49206934710438954,0.4736259682773884,0.4791589819254887,0.047215049797122835,12.12461059190031,11.595073133179369,8.0,7.0,4.453125
15,1,0.75,1.0,locked,1439,0.7751206178896073,-2.529991921950311,-0.11247071274636575,0.4788047255038221,0.4551772063933287,0.4975677553856845,0.0472550382209868,13.215267175572519,12.716480446927374,9.0,8.0,5.970588235294118
15,1,0.75,1.5,research,2252,0.8751037765565319,-1.0935020850132477,-0.08376154329532015,0.4080817051509769,0.380550621669627,0.5608348134991119,0.0586145648312611,20.55659276546091,14.44972288202692,16.0,9.0,6.590909090909091
15,1,0.75,1.5,locked,1192,0.8090392379523628,-2.5425952580918096,-0.10831021813956991,0.39093959731543626,0.35906040268456374,0.584731543624161,0.05620805369127517,21.373831775700936,16.031563845050215,16.0,10.0,9.64179104477612
15,1,0.75,2.0,research,1976,0.8596532394471417,-1.3734599088642085,-0.09386864301205919,0.3441295546558704,0.3076923076923077,0.6244939271255061,0.06781376518218624,28.68421052631579,17.20583468395462,21.0,10.0,12.873134328358208
15,1,0.75,2.0,locked,1031,0.8268011541065675,-2.536858866552252,-0.11554171792449083,0.33074684772065954,0.2890397672162949,0.6459747817652765,0.06498545101842872,30.42281879194631,19.384384384384383,22.0,11.0,15.014925373134329
15,1,1.0,1.0,research,2096,0.8539000230104519,-1.4120741394945153,-0.07579219630338559,0.4933206106870229,0.4666030534351145,0.4689885496183206,0.06440839694656489,19.692229038854805,18.922685656154627,15.0,13.0,8.88888888888889
15,1,1.0,1.0,locked,1091,0.7871806794463274,-3.1710132953972563,-0.10199144491469347,0.4766269477543538,0.4427131072410632,0.4922089825847846,0.06507791017415215,21.594202898550726,21.074487895716945,15.0,15.0,11.845070422535212
15,1,1.0,1.5,research,1727,0.8660227292242103,-1.536984628420471,-0.07382082263161134,0.4053271569195136,0.36479444122756227,0.5564562825709323,0.0787492762015055,31.252380952380953,23.211238293444328,23.0,16.0,15.0
15,1,1.0,1.5,locked,898,0.7804191663126528,-3.8681019742962377,-0.12176368670611794,0.3830734966592428,0.3363028953229399,0.5857461024498887,0.0779510022271715,34.05298013245033,25.731939163498097,26.5,16.0,17.585714285714285
