feat,fam,dir,n,thr,mfe,mae,mfe_pts,mae_pts,atr_pts,ratio,tf,win,hz,base_mfe,base_mae,base_n
vol.atr_ratio,vol,low,4767,1.0297012194026924,4.561242445570611,4.452187258568559,43.42584434654919,44.06602685126914,8.932495698951174,1.024494743969308,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
vol.range_atr,vol,high,4767,1.5546917904357762,3.6237405864612455,3.9837435693158403,58.30595762534089,63.83071113908118,16.202713543215406,0.9096319889594648,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
vol.range_atr,vol,low,4767,0.809198611635579,3.805314857432491,3.895913183903819,49.418554646528214,50.351216698133,11.905538209220053,0.9767452912334802,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
vol.rstd20_atr,vol,high,4767,1.4696033170281526,3.268845393885184,3.728795802612473,54.447136563876654,60.68806377176421,17.196675934188757,0.8766490757136558,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
vol.rstd20_atr,vol,low,4767,0.7173744768675849,4.245977562152328,4.103254089381326,52.60546465282148,51.128015523389976,12.036430867280245,1.0347829965344704,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
vol.bb_width,vol,high,4767,0.0003263254116626414,3.39566420598617,3.5783164439037733,54.69241661422278,56.80826515628278,16.672449064154012,0.9489558174127444,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
vol.bb_width,vol,low,4767,0.0001542999809619861,4.146069714805087,4.140360039393483,52.569802810992236,53.44042374659115,12.436431702856261,1.0013790287214828,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
vol.atr_pct250,vol,high,4819,0.968,2.2407076665465495,2.3817724704386487,58.280089230130734,60.53678148993567,24.53263378633958,0.9407731823073262,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
vol.atr_pct250,vol,low,4826,0.48,4.431152651299529,4.269742280936848,41.71679444674679,40.539214670534605,8.883967460201326,1.03780330515107,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
vol.range_exp,vol,high,4767,2.0477712736841007,2.791694587276035,3.141583349188485,59.84078036500944,66.83013425634572,21.353929307490972,0.8886266181660177,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
