tf,design,stop,tgt,be,be_off,arm,tr,n,R,pts,pf,win,sharpe,p_flat
3,S2 level reclaim,2.0,1.5,0.0,0.0,1.0,1.0,515,-0.11374304175654415,-3.013921135051616,0.7750957644647187,0.47766990291262135,-1.2783348508586752,0.14563106796116504
3,S2 level reclaim,2.0,1.5,1.0,0.25,0.0,0.0,515,-0.10592686151873995,-2.8292808238430656,0.7901497912307722,0.49514563106796117,-1.2095556159385903,0.1436893203883495
3,S2 level reclaim,2.0,1.5,1.0,0.25,1.0,1.0,515,-0.10820402669784983,-2.87610735335469,0.7856342035970307,0.4970873786407767,-1.2309573427514713,0.1436893203883495
3,S2 level reclaim,2.0,2.0,0.0,0.0,0.0,0.0,495,-0.14969570354334524,-5.276348018124714,0.768545403493678,0.3616161616161616,-1.908581206024259,0.20606060606060606
3,S2 level reclaim,2.0,2.0,0.0,0.0,1.0,1.0,515,-0.10823893608110698,-3.158726079627112,0.7859790383786448,0.47766990291262135,-1.306459490174054,0.16116504854368932
3,S2 level reclaim,2.0,2.0,1.0,0.25,0.0,0.0,515,-0.11793292135208656,-3.5758225332799154,0.7663647557223058,0.49514563106796117,-1.491479177070561,0.16116504854368932
3,S2 level reclaim,2.0,2.0,1.0,0.25,1.0,1.0,515,-0.10253592160049022,-3.030637797526267,0.7968634332326722,0.4970873786407767,-1.2661501082662692,0.15922330097087378
3,S2 level reclaim,2.0,3.0,0.0,0.0,0.0,0.0,495,-0.14438268995197173,-5.0604017963486525,0.7906804772644088,0.3212121212121212,-1.692024419986697,0.24848484848484848
3,S2 level reclaim,2.0,3.0,0.0,0.0,1.0,1.0,515,-0.09982581214281207,-2.592817547107337,0.8026143171489782,0.47766990291262135,-0.9923475674355631,0.1669902912621359
3,S2 level reclaim,2.0,3.0,1.0,0.25,0.0,0.0,515,-0.1052825016326279,-2.947078362877738,0.791426323497323,0.49514563106796117,-1.1162953114350198,0.18058252427184465
3,S2 level reclaim,2.0,3.0,1.0,0.25,1.0,1.0,515,-0.09606454523501094,-2.567124094383898,0.8096840443572753,0.4970873786407767,-0.9986569987619337,0.1650485436893204
3,S2 level reclaim,3.0,0.0,0.0,0.0,0.0,0.0,427,-0.1750535363698325,-9.046978967856118,0.7219983969609878,0.3255269320843091,-2.191620741060414,0.4426229508196721
3,S2 level reclaim,3.0,0.0,0.0,0.0,1.0,1.0,450,-0.1001645556011754,-5.097181970486048,0.7889092421528309,0.4688888888888889,-1.4301355994976308,0.2911111111111111
3,S2 level reclaim,3.0,0.0,1.0,0.25,0.0,0.0,450,-0.09693907592801869,-5.671091203789015,0.7955420489543596,0.4866666666666667,-1.5581476582090872,0.34
3,S2 level reclaim,3.0,0.0,1.0,0.25,1.0,1.0,450,-0.09256554373546527,-4.721882575830323,0.8047664347075888,0.4866666666666667,-1.327321333098054,0.28888888888888886
3,S2 level reclaim,3.0,1.0,0.0,0.0,0.0,0.0,450,-0.09183704041470092,-4.164742736685011,0.806302949212885,0.4866666666666667,-1.3215902688282684,0.21333333333333335
3,S2 level reclaim,3.0,1.0,0.0,0.0,1.0,1.0,450,-0.09183704041470092,-4.164742736685011,0.806302949212885,0.4866666666666667,-1.3215902688282684,0.21333333333333335
3,S2 level reclaim,3.0,1.0,1.0,0.25,0.0,0.0,450,-0.09183704041470092,-4.164742736685011,0.806302949212885,0.4866666666666667,-1.3215902688282684,0.21333333333333335
3,S2 level reclaim,3.0,1.0,1.0,0.25,1.0,1.0,450,-0.09183704041470092,-4.164742736685011,0.806302949212885,0.4866666666666667,-1.3215902688282684,0.21333333333333335
3,S2 level reclaim,3.0,1.5,0.0,0.0,0.0,0.0,434,-0.17608631370664288,-8.480350363538083,0.6869523590391786,0.391705069124424,-2.4719406948773086,0.2857142857142857
3,S2 level reclaim,3.0,1.5,0.0,0.0,1.0,1.0,450,-0.13589709043150353,-6.357480268336056,0.7136050807969165,0.4688888888888889,-1.9491675305658676,0.2511111111111111
3,S2 level reclaim,3.0,1.5,1.0,0.25,0.0,0.0,450,-0.12797653922831423,-5.979055026059125,0.7300797357304875,0.4866666666666667,-1.8316427247806613,0.2511111111111111
3,S2 level reclaim,3.0,1.5,1.0,0.25,1.0,1.0,450,-0.1291169720034832,-6.029298353768201,0.7276744048947625,0.4866666666666667,-1.8491253646466894,0.24888888888888888
