tf,geom,feature,n_res,kept,keep_frac,base,filt,edge,p,binary,bh
60,V38  70/30 2.5N no-tp,div.exhausted_buyers_k3_w30,574,245,0.4268292682926829,0.05363951908945588,0.033905504550511514,-0.019734014538944362,0.68,True,False
240,V54  20/20 2.0N no-tp,cvd.above_ema20,337,265,0.7863501483679525,0.07776717706941835,0.055118900638338235,-0.022648276431080118,0.685,True,False
240,V54  20/20 2.0N no-tp,div.absorbed_selling_k2_w10,337,88,0.26112759643916916,0.07776717706941835,-0.018588671708230056,-0.09635584877764841,0.6883333333333334,True,False
240,V54  20/20 2.0N no-tp,div.absorbed_selling_k2_w30,337,194,0.5756676557863502,0.07776717706941835,0.027670805902807606,-0.05009637116661075,0.69,True,False
60,V38  70/30 2.5N no-tp,div.exhausted_buyers_k3_w10,574,76,0.13240418118466898,0.05363951908945588,-0.008898495152921685,-0.06253801424237757,0.69,True,False
60,V38  70/30 2.5N no-tp,eff.delta_share50,574,287,0.5,0.05363951908945588,0.03175134973240707,-0.021888169357048806,0.6933333333333334,False,False
240,V38  70/30 2.5N no-tp,div.absorbed_buying_k2_w30,146,88,0.6027397260273972,0.23178743204105454,0.15762211105976148,-0.07416532098129305,0.695,True,False
60,V54  20/20 2.0N no-tp,conf.both20,1410,599,0.424822695035461,0.026027206181531964,0.00947144812091078,-0.016555758060621185,0.7,True,False
60,V38  70/30 2.5N no-tp,conf.cvd_newhigh55,574,217,0.3780487804878049,0.05363951908945588,0.023644967325108197,-0.02999455176434768,0.71,True,False
240,V38  70/30 2.5N no-tp,ctx.vol_ratio,146,73,0.5,0.23178743204105454,0.1173659497826202,-0.11442148225843433,0.7183333333333334,False,False
60,V38  70/30 2.5N no-tp,cvd.slope50,574,287,0.5,0.05363951908945588,0.03175134973240707,-0.021888169357048806,0.72,False,False
240,V54  20/20 2.0N no-tp,cvd.z10,337,169,0.5014836795252225,0.07776717706941835,0.01698924072969141,-0.060777936339726946,0.725,False,False
